기준년월,HSK품목코드,수출입구분코드,수산물수출입품목명,수출입구분명,당월수출입중량(킬로그램),당월수출입미화금액(달러),당해누계수출입중량(킬로그램),당해누계수출입미화금액(달러)
Jul-23,307719000,I,클램/ 새조개 및 피조개 기타 살아있는겄/ 신선한 것/ 냉장한 것,수입,30825,146435,1082476,2907092
Jul-23,307721000,I,새조개,수입,16,142,12286,106247
Jul-23,307723000,I,바지락,수입,155390,259195,1645898,2827539
Jul-23,307724000,I,피조개,수입,2030,14599,10890,99030
Jul-23,307725000,I,개조개,수입,17701,57646,67841,340103
Jul-23,307729000,I,기타,수입,170557,310751,984880,3094233
Jul-23,307792010,I,개량조개(건조),수입,0,0,16000,132290
Jul-23,307793020,I,바지락(염장 또는 염수장한 것),수입,0,0,316800,2085313
Jul-23,307793090,I,클램/ 새조개 및 피조개 기타(염장 또는 염수장한 것),수입,38,219,338,3753
Jul-23,307820000,I,살아있거나/ 신선하거나 냉장한 수정고둥류[스트롬버스(Strombus)종],수입,116,260,728,2132
Jul-23,307830000,I,냉동한 전복[할리오티스(Haliotis)종],수입,0,0,5,585
Jul-23,307871000,I,건조한 것,수입,0,0,1,81
Jul-23,307872000,I,염장이나 염수장한 것,수입,0,0,1,42
Jul-23,307912090,I,진주조개(기타)(산 것 신선 또는 냉장한 것),수입,0,0,2,25
Jul-23,307913000,I,개아지살(산 것 신선 또는 냉장한 것),수입,0,0,176,22842
Jul-23,307914000,I,재첩(산 것 신선 또는 냉장한 것),수입,120800,91302,1092600,916400
Jul-23,307919000,I,기타[분 조분 펠리트 포함(식용 적합)]의 기타(산/신선/냉장),수입,227,502,123264,409242
Jul-23,307921000,I,개아지살,수입,53765,714106,889905,12378137
Jul-23,307922000,I,소라,수입,54925,350189,232112,1095998
Jul-23,307929000,I,기타,수입,302189,2743741,2413552,16367693
Jul-23,307992900,I,기타[분 조분 펠리트를 포함(식용에 적합한)]의 기타(건조),수입,1,5,466,7500
Jul-23,307994900,I,기타[분 조분 펠리트를 포함(식용에 적합한)]의 기타(훈제한 것),수입,0,0,1,12
Jul-23,308110000,I,해삼(산 것 신선 또는 냉장한 것),수입,3,13,854,8994
Jul-23,308120000,I,냉동한 것,수입,0,0,135158,606914
Jul-23,308192000,I,해삼(건조한 것),수입,0,0,825,33217
Jul-23,308210000,I,성게(산 것 신선 또는 냉장한 것),수입,6550,797938,62979,8536921
Jul-23,308220000,I,냉동한 것,수입,4062,241367,31199,2283623
Jul-23,308301000,I,해파리(산 것 신선 또는 냉장한 것),수입,7,93,409,18773
Jul-23,308304000,I,해파리(염장 또는 염수장한 것),수입,835080,1688970,3792845,8898471
Jul-23,308901019,I,우렁쉥이(기타)(산 것 신선 또는 냉장한 것),수입,0,0,397950,878965
